province,address,price,Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation
Kentron,"Kristapor street 20, Yerevan","$158,000",Stone,No,Not available,5,50,3,1,from 3 m,4,Closed balcony,Available,Designer Renovation
Kentron,"Աբովյան փողոց, Երևան","$260,000",Stone,No,Not available,5,103,3,1,from 2.75 m,2,Closed balcony,Available,Cosmetic Renovation
Kentron,"Улица Сарьяна 38, Yerevan","$205,000",Monolith,No,Available,16,100,3,1,from 2.7 m,13,Multiple balconies,Partial Furniture,Partial Renovation
Kanaker-Zeytun,"Dro street, Yerevan","$119,000",Panels,No,Available,13,75,4,1,from 2.7 m,9,Not available,Available,Major Renovation
Erebuni,"Rostovyan street, Yerevan","$45,000",Stone,No,Not available,5,29,1,1,from 2.7 m,1,Not available,Not available,Old Renovation
Malatia-Sebastia,"Ohanov street 8, Yerevan","$105,000",Monolith,No,Available,14,83,3,2,from 2.6 m,12,Closed balcony,Available,Euro Renovation
Arabkir,"Komitas avenu, Երևան","$157,000",Stone,No,Not available,5,79,3,1,from 3.5 m,2,Closed balcony,Available,Major Renovation
Kentron,"Hanrapetutyun street 78, Yerevan","$410,000",Stone,No,Not available,3,110,3,1,from 3.2 m,2,Multiple balconies,Available,Major Renovation
Kanaker-Zeytun,"Azatutyan Avenue lane 5, Yerevan","$88,000",Panels,No,Available,9,46,2,1,from 2.7 m,6,Open balcony,Not available,Designer Renovation
Nor Nork,"Վիլնյուսի փողոց, Երևան","$105,000",Panels,No,Available,9,98,3,1,from 2.8 m,2,Closed balcony,By agreement,Major Renovation
Arabkir,"Hrachya Kochar Street, Yerevan","$140,000",Stone,No,Not available,5,70,3,1,from 3 m,5,Open balcony,Available,Euro Renovation
Arabkir,"Aram Khachatryan street, Երևան","$139,000",Panels,No,Available,9,71,2,1,from 2.75 m,6,Open balcony,Available,Euro Renovation
Arabkir,"Komitas avenu, Երևան","$229,000",Monolith,Yes,Available,14,87,3,2,from 3 m,14,Open balcony,Available,Designer Renovation
Malatia-Sebastia,"Զորավար Անդրանիկի փողոց 10/3, Yerevan","$80,000",Panels,No,Available,14,54,2,1,from 3 m,13,Closed balcony,Partial Furniture,Major Renovation
Nor Nork,"Ashot Hovhannisyan Street, Yerevan","$106,500",Panels,No,Available,9,78,3,1,from 2.7 m,3,Closed balcony,Available,Major Renovation
Nor Nork,"Moldovakan street, Yerevan","$97,000",Monolith,Yes,Not available,6,60,2,1,from 2.8 m,1,Open balcony,Available,Major Renovation
Kanaker-Zeytun,"Dro street 15, Yerevan","$75,000",Stone,No,Not available,5,35,1,1,from 2.8 m,4,Open balcony,Available,Cosmetic Renovation
Kentron,"Rostom street, Yerevan","$395,000",Monolith,Yes,Available,16,162,4,2,from 3 m,6,Multiple balconies,By agreement,Major Renovation
Arabkir,"Գյուլբենկյան փողոց, Երևան","$95,000",Stone,No,Not available,5,29,1,1,from 2.6 m,4,Open balcony,Available,Major Renovation
Arabkir,"Վահրամ Փափազյան փողոց, Երևան","$140,000",Monolith,Yes,Available,9,44,2,1,from 3 m,8,Open balcony,Not available,Major Renovation
Arabkir,"Avet Avetisyan Street, Yerevan","$250,000",Monolith,Yes,Available,10,132,4,2,from 3 m,9,Open balcony,Available,Euro Renovation
Kentron,"Marshal Baghramyan avenue, Yerevan","$238,000",Stone,No,Not available,5,73,3,1,from 3 m,2,Closed balcony,Available,Major Renovation
Davitashen,"Անաստաս Միկոյանի փողոց, Երևան","$285,000",Monolith,Yes,Available,12,155,4,2,from 3 m,11,Multiple balconies,Available,Major Renovation
Davitashen,"Tigran Petrosyan street, Yerevan","$132,000",Monolith,Yes,Available,11,64,3,1,from 3 m,7,Not available,Available,Major Renovation
Kanaker-Zeytun,"Կարապետ Ուլնեցու փողոց, Երևան","$265,000",Monolith,Yes,Available,16,82,3,1,from 3 m,6,Multiple balconies,Available,Major Renovation
Nor Nork,"Artem Mikoyan street, Yerevan","$105,000",Stone,No,Not available,5,78,3,1,from 2.7 m,5,Open balcony,Available,Major Renovation
Arabkir,"Monte Melkonyan Avenue, Yerevan","$179,900",Monolith,Yes,Available,17,100,3,2,from 3 m,14,Open balcony,Not available,No Renovation
Kentron,"Արգիշտի փողոց, Երևան","$265,000",Monolith,Yes,Available,14,94,3,2,from 3 m,7,Open balcony,Not available,No Renovation
Nor Nork,"Totovents street 8/2, Yerevan","$88,000",Cassette,No,Not available,5,55,2,1,from 2.75 m,3,Closed balcony,Available,Major Renovation
Nor Nork,"Moldovakan street, Երևան","$50,000",Panels,No,Available,18,40,2,1,from 2.75 m,6,Not available,Partial Furniture,Cosmetic Renovation
